time,orientation_x,orientation_y,orientation_z
1703352253.0348103,0.0,0.0,0.0
1703352253.0452273,1.0,2.0,3.0
1703352253.0559711,0.0,0.0,0.0
1703352253.0668218,1.0,2.0,3.0
1703352253.077328,1.0,2.0,3.0
1703352253.0877912,1.0,2.0,3.0
1703352253.0985384,1.0,2.0,3.0
1703352253.1092145,1.0,2.0,3.0
1703352253.1198893,1.0,2.0,3.0
1703352253.130528,1.0,2.0,3.0
1703352253.1411428,1.0,2.0,3.0
1703352253.1517134,1.0,2.0,3.0
1703352253.162446,1.0,2.0,3.0
1703352253.1730127,1.0,2.0,3.0
1703352253.1838036,1.0,2.0,3.0
1703352253.1943579,1.0,2.0,3.0
1703352253.2050664,1.0,2.0,3.0
1703352253.2158067,1.0,2.0,3.0
1703352253.2266393,1.0,2.0,3.0
1703352253.237202,1.0,2.0,3.0
1703352253.2477672,1.0,2.0,3.0
1703352253.2584798,1.0,2.0,3.0
1703352253.2692668,1.0,2.0,3.0
1703352253.2800248,1.0,2.0,3.0
1703352253.290619,1.0,2.0,3.0
1703352253.3011484,1.0,2.0,3.0
1703352253.3118594,1.0,2.0,3.0
1703352253.3225834,1.0,2.0,3.0
1703352253.3333082,1.0,2.0,3.0
1703352253.3439832,1.0,2.0,3.0
1703352253.3544748,1.0,2.0,3.0
1703352253.365175,1.0,2.0,3.0
1703352253.3759148,1.0,2.0,3.0
1703352253.3866622,1.0,2.0,3.0
1703352253.3972273,1.0,2.0,3.0
1703352253.4077485,1.0,2.0,3.0
1703352253.4185686,1.0,2.0,3.0
1703352253.4293082,1.0,2.0,3.0
1703352253.4400382,1.0,2.0,3.0
1703352253.4508567,1.0,2.0,3.0
1703352253.4616363,1.0,2.0,3.0
1703352253.472492,1.0,2.0,3.0
1703352253.4831321,1.0,2.0,3.0
1703352253.4937787,1.0,2.0,3.0
1703352253.504232,1.0,2.0,3.0
1703352253.514957,1.0,2.0,3.0
1703352253.525853,1.0,2.0,3.0
1703352253.5366235,1.0,2.0,3.0
1703352253.5472145,1.0,2.0,3.0
1703352253.557604,1.0,2.0,3.0
1703352253.5683677,1.0,2.0,3.0
1703352253.579096,1.0,2.0,3.0
